               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11124,            0.039219,            0.038177,          0.00084649,             0.04718,          0.00046276,          0.00010374,             0.10566,            0.027711,            0.037253,           0.0032456,           0.0032456,            0.070789
                   1,             0.10573,            0.041619,            0.036325,          0.00082184,            0.046315,          0.00044968,          9.5529e-05,             0.10149,            0.029114,            0.036678,           0.0065768,           0.0065768,            0.040787
                   2,            0.099761,            0.043231,              0.0332,          0.00080938,            0.043222,          0.00038348,          8.6644e-05,             0.10569,            0.027937,             0.03578,           0.0099057,           0.0099057,            0.010783
                   3,            0.094159,            0.044865,            0.025564,           0.0027377,             0.11376,             0.00155,          0.00035969,             0.10918,            0.042272,              0.0417,           0.0099901,           0.0099901,           0.0099901
                   4,            0.089159,            0.046661,            0.020223,             0.69594,            0.056895,            0.013213,             0.00367,            0.094145,            0.029567,             0.02742,           0.0099901,           0.0099901,           0.0099901
                   5,            0.082403,            0.046649,            0.018493,             0.70486,            0.059369,            0.016943,           0.0034229,            0.087361,            0.046035,            0.019769,           0.0099868,           0.0099868,           0.0099868
                   6,            0.079999,            0.046634,            0.017737,             0.76987,              0.1243,            0.067038,            0.018442,            0.075401,            0.032928,            0.018651,           0.0099835,           0.0099835,           0.0099835
                   7,            0.073874,            0.047087,             0.01664,              0.6725,            0.054422,           0.0036526,          0.00084867,            0.085202,            0.043592,            0.021516,           0.0099802,           0.0099802,           0.0099802
                   8,            0.072773,            0.045583,            0.016273,             0.79433,             0.11441,            0.088856,            0.028191,            0.072149,            0.033699,            0.018788,           0.0099769,           0.0099769,           0.0099769
                   9,            0.069887,            0.041581,            0.016546,             0.74961,             0.07483,            0.041178,             0.01158,            0.088741,            0.027192,            0.020154,           0.0099736,           0.0099736,           0.0099736
                  10,             0.06717,            0.041525,             0.01607,              0.8215,             0.14645,             0.11641,             0.03158,            0.068439,            0.030899,            0.017402,           0.0099703,           0.0099703,           0.0099703
                  11,            0.064874,            0.040246,            0.015662,             0.84967,             0.13851,             0.14589,            0.042811,            0.064641,             0.02977,             0.01826,            0.009967,            0.009967,            0.009967
                  12,            0.065653,            0.038734,            0.014232,             0.86314,             0.16821,             0.17364,            0.047979,            0.062118,            0.024534,            0.014966,           0.0099637,           0.0099637,           0.0099637
                  13,            0.061493,            0.037338,            0.014454,             0.88897,             0.18821,             0.21689,            0.077718,            0.056887,            0.025468,             0.01398,           0.0099604,           0.0099604,           0.0099604
                  14,             0.05922,            0.038212,            0.013675,             0.87901,             0.18677,             0.21055,            0.072597,            0.056002,            0.025799,            0.015026,           0.0099571,           0.0099571,           0.0099571
                  15,            0.059941,            0.038793,            0.013409,             0.92748,             0.19351,             0.27449,            0.092407,            0.055363,            0.024673,            0.013183,           0.0099538,           0.0099538,           0.0099538
                  16,            0.058993,            0.037308,            0.013046,             0.88846,             0.11683,             0.14089,             0.05054,            0.064722,            0.028607,            0.026344,           0.0099505,           0.0099505,           0.0099505
                  17,            0.056726,            0.036365,            0.012453,             0.69646,             0.23594,             0.25301,            0.094688,            0.055964,              0.0235,            0.013877,           0.0099472,           0.0099472,           0.0099472
                  18,            0.058017,            0.036282,            0.012617,             0.65704,             0.27728,             0.28473,             0.12079,            0.051556,            0.022687,            0.011774,           0.0099439,           0.0099439,           0.0099439
                  19,            0.057521,            0.035349,            0.010893,             0.84266,             0.25543,             0.31377,             0.13638,            0.052489,            0.023971,            0.013004,           0.0099406,           0.0099406,           0.0099406
                  20,             0.05463,            0.034289,            0.011383,             0.70252,             0.35125,             0.35791,             0.16112,            0.048098,            0.021494,            0.010215,           0.0099373,           0.0099373,           0.0099373
                  21,             0.05129,            0.034661,            0.012796,             0.71185,             0.36064,              0.3711,             0.15347,            0.047758,            0.020283,            0.010866,            0.009934,            0.009934,            0.009934
                  22,            0.053705,            0.032643,            0.011503,               0.782,             0.31238,             0.34446,             0.13251,            0.049789,            0.020851,           0.0091586,           0.0099307,           0.0099307,           0.0099307
                  23,            0.051729,            0.035067,            0.010396,             0.70943,             0.36405,             0.35558,             0.14272,            0.047728,            0.019879,           0.0088502,           0.0099274,           0.0099274,           0.0099274
                  24,            0.051174,            0.031676,            0.010512,             0.82059,             0.36515,             0.40632,             0.17641,            0.046784,            0.019669,           0.0086963,           0.0099241,           0.0099241,           0.0099241
                  25,            0.049387,            0.033715,            0.009985,             0.70134,             0.33584,             0.32851,             0.15796,            0.046115,            0.023969,            0.011502,           0.0099208,           0.0099208,           0.0099208
                  26,            0.050058,            0.032751,            0.010121,              0.8033,             0.38312,             0.42173,             0.19559,            0.043573,            0.019044,           0.0083871,           0.0099175,           0.0099175,           0.0099175
                  27,            0.047839,             0.03292,            0.010234,             0.85355,             0.37346,             0.42897,             0.20064,            0.044032,            0.019784,           0.0086853,           0.0099142,           0.0099142,           0.0099142
                  28,            0.047126,            0.031142,            0.010876,             0.73567,             0.33556,             0.33965,             0.15011,            0.047744,            0.021155,            0.011727,           0.0099109,           0.0099109,           0.0099109
                  29,            0.048721,            0.032284,            0.010035,             0.77724,             0.39704,             0.41371,             0.18481,             0.04501,            0.019021,           0.0082683,           0.0099076,           0.0099076,           0.0099076
                  30,             0.04891,            0.033437,           0.0096267,             0.85079,             0.38848,             0.42507,             0.18502,            0.045933,            0.019483,            0.008761,           0.0099043,           0.0099043,           0.0099043
                  31,            0.047004,             0.03254,            0.010323,             0.85126,              0.3902,              0.4178,             0.19771,            0.043575,            0.018768,           0.0082874,            0.009901,            0.009901,            0.009901
                  32,            0.044571,            0.030787,           0.0091154,             0.82321,             0.42144,             0.44577,             0.22847,            0.040312,            0.018258,           0.0079988,           0.0098977,           0.0098977,           0.0098977
                  33,            0.043288,            0.029643,           0.0088657,             0.86208,             0.40922,             0.45709,             0.23128,            0.040954,            0.018458,           0.0090333,           0.0098944,           0.0098944,           0.0098944
                  34,            0.046581,            0.030976,           0.0092272,             0.82783,             0.40559,             0.44265,             0.22506,            0.042298,            0.018564,            0.008771,           0.0098911,           0.0098911,           0.0098911
                  35,             0.04413,            0.030207,           0.0095882,             0.81507,             0.42209,             0.43202,             0.21358,             0.04213,            0.018356,           0.0083368,           0.0098878,           0.0098878,           0.0098878
                  36,            0.045723,            0.031688,           0.0091272,             0.83586,             0.38748,             0.43586,             0.22042,            0.039944,            0.018212,            0.010553,           0.0098845,           0.0098845,           0.0098845
                  37,            0.042776,            0.029547,           0.0088094,             0.87345,              0.3927,             0.45387,             0.23638,            0.040251,            0.018639,           0.0079606,           0.0098812,           0.0098812,           0.0098812
                  38,            0.042828,             0.02972,           0.0091817,               0.855,             0.43228,             0.46724,              0.2345,            0.041513,            0.018112,           0.0079148,           0.0098779,           0.0098779,           0.0098779
                  39,            0.042619,            0.029358,           0.0086976,             0.86669,             0.39808,             0.45557,             0.23049,            0.040015,            0.017994,           0.0095837,           0.0098746,           0.0098746,           0.0098746
                  40,            0.042302,            0.029705,           0.0090803,              0.8508,             0.39065,             0.43545,             0.22153,            0.040252,            0.018605,            0.010308,           0.0098713,           0.0098713,           0.0098713
                  41,            0.042832,            0.029663,           0.0087844,             0.85609,             0.42518,             0.46289,             0.24093,            0.038807,             0.01865,           0.0075448,            0.009868,            0.009868,            0.009868
                  42,            0.041923,            0.029378,           0.0078822,             0.84531,             0.45092,             0.48579,             0.25656,            0.037595,            0.017551,            0.007936,           0.0098647,           0.0098647,           0.0098647
                  43,            0.042602,            0.030639,           0.0085111,              0.8678,             0.43855,             0.48219,             0.23848,            0.040397,            0.017313,            0.007188,           0.0098614,           0.0098614,           0.0098614
                  44,            0.042698,            0.028957,           0.0085904,             0.83533,             0.44804,              0.4734,             0.24307,            0.039089,            0.017363,           0.0081161,           0.0098581,           0.0098581,           0.0098581
                  45,            0.040711,            0.029124,            0.008885,             0.81593,             0.45322,             0.48356,             0.23236,            0.039496,            0.017915,           0.0075577,           0.0098548,           0.0098548,           0.0098548
                  46,            0.041209,            0.028824,           0.0079077,             0.86751,             0.41484,             0.46108,             0.23848,            0.038702,            0.017423,           0.0085575,           0.0098515,           0.0098515,           0.0098515
                  47,            0.040257,            0.030479,           0.0079511,             0.87121,             0.42618,             0.47978,             0.24754,             0.03964,            0.017441,           0.0077983,           0.0098482,           0.0098482,           0.0098482
                  48,            0.041408,            0.029464,           0.0082063,               0.841,             0.45145,             0.50296,             0.25832,            0.037313,            0.017016,           0.0066714,           0.0098449,           0.0098449,           0.0098449
                  49,            0.040021,            0.029127,           0.0078578,             0.84075,             0.43657,             0.48214,             0.24822,            0.037783,            0.017425,           0.0072565,           0.0098416,           0.0098416,           0.0098416
                  50,            0.039929,            0.027655,           0.0076199,             0.85539,             0.44271,             0.48442,              0.2573,            0.037671,            0.018122,           0.0072504,           0.0098383,           0.0098383,           0.0098383
                  51,            0.038999,            0.028814,           0.0075995,             0.85645,             0.44724,             0.48766,             0.25825,            0.037591,            0.017213,           0.0081571,            0.009835,            0.009835,            0.009835
                  52,            0.039385,            0.029458,           0.0078122,             0.87081,             0.41978,             0.48691,             0.26325,            0.037202,            0.016924,            0.007886,           0.0098317,           0.0098317,           0.0098317
                  53,            0.040609,            0.028996,           0.0083239,             0.83831,             0.45115,             0.49463,              0.2636,            0.036167,            0.016994,           0.0077058,           0.0098284,           0.0098284,           0.0098284
                  54,            0.038628,            0.029098,           0.0081425,             0.88621,             0.45981,             0.51228,             0.27259,            0.036994,             0.01653,           0.0077675,           0.0098251,           0.0098251,           0.0098251
                  55,            0.039183,            0.026696,           0.0078832,              0.8795,             0.44641,             0.50289,             0.27146,            0.037269,            0.017121,           0.0069487,           0.0098218,           0.0098218,           0.0098218
                  56,            0.039608,            0.027001,           0.0078088,             0.82723,             0.45989,             0.50269,             0.26957,            0.037543,            0.018203,            0.007016,           0.0098185,           0.0098185,           0.0098185
                  57,            0.037924,            0.027354,           0.0077124,             0.79383,             0.41681,             0.41872,             0.23013,            0.037467,            0.018418,            0.013579,           0.0098152,           0.0098152,           0.0098152
                  58,            0.038192,            0.026781,           0.0071715,             0.85146,             0.42088,             0.46452,             0.24878,            0.037232,            0.018517,           0.0077966,           0.0098119,           0.0098119,           0.0098119
                  59,            0.039937,            0.027576,           0.0076324,             0.85546,             0.41542,             0.47075,             0.25523,            0.036709,            0.018161,           0.0075755,           0.0098086,           0.0098086,           0.0098086
                  60,            0.037967,            0.027832,           0.0071928,             0.88747,             0.45309,              0.5162,             0.28776,            0.035611,            0.016485,           0.0074105,           0.0098053,           0.0098053,           0.0098053
                  61,            0.038453,            0.027486,           0.0074291,             0.87499,             0.41712,             0.48895,             0.25446,            0.039366,            0.017602,           0.0084744,            0.009802,            0.009802,            0.009802
                  62,            0.038065,            0.026286,           0.0067096,             0.88205,             0.45075,             0.51152,             0.28122,             0.03579,            0.016432,           0.0066619,           0.0097987,           0.0097987,           0.0097987
                  63,            0.036919,            0.025754,           0.0072282,             0.89074,             0.45556,             0.53056,             0.29236,            0.035721,            0.016564,           0.0065298,           0.0097954,           0.0097954,           0.0097954
                  64,            0.037468,            0.027822,           0.0074804,             0.89061,             0.44704,             0.50725,             0.28014,            0.036112,             0.01641,           0.0075335,           0.0097921,           0.0097921,           0.0097921
                  65,            0.036727,            0.026584,           0.0069183,             0.87995,             0.43969,             0.51223,             0.27954,             0.03674,            0.016218,            0.007154,           0.0097888,           0.0097888,           0.0097888
                  66,            0.037494,            0.026387,           0.0071314,             0.87073,             0.45306,             0.53048,              0.2974,            0.035319,            0.016518,           0.0071503,           0.0097855,           0.0097855,           0.0097855
                  67,            0.036586,             0.02589,           0.0065828,              0.8958,             0.45735,             0.52524,             0.28998,            0.035417,             0.01605,           0.0068744,           0.0097822,           0.0097822,           0.0097822
                  68,            0.039062,            0.026442,           0.0068126,             0.88368,             0.45683,             0.54038,             0.29293,             0.03492,            0.016852,           0.0066562,           0.0097789,           0.0097789,           0.0097789
                  69,              0.0378,            0.025276,           0.0067714,             0.91087,             0.41875,             0.49885,             0.28061,            0.036854,            0.017268,             0.00832,           0.0097756,           0.0097756,           0.0097756
                  70,            0.037361,            0.026688,           0.0065949,             0.88152,             0.45854,             0.56214,             0.30824,            0.035419,             0.01652,           0.0064078,           0.0097723,           0.0097723,           0.0097723
                  71,            0.038262,            0.027659,           0.0067277,             0.48795,             0.55443,             0.54111,             0.30259,            0.035164,            0.016301,           0.0070836,            0.009769,            0.009769,            0.009769
                  72,            0.036196,            0.026317,           0.0061204,              0.5012,             0.53601,             0.52575,             0.29737,            0.034546,            0.016252,           0.0087799,           0.0097657,           0.0097657,           0.0097657
                  73,            0.036603,             0.02661,           0.0067598,             0.46747,             0.57798,             0.53176,             0.29529,             0.03522,            0.016457,           0.0070302,           0.0097624,           0.0097624,           0.0097624
                  74,            0.036965,            0.025496,           0.0060036,             0.89264,             0.45621,             0.51904,             0.27785,            0.037211,            0.016509,           0.0074768,           0.0097591,           0.0097591,           0.0097591
                  75,            0.035723,            0.026241,           0.0062988,             0.85789,              0.4793,             0.53574,              0.3036,            0.034519,            0.016283,           0.0073232,           0.0097558,           0.0097558,           0.0097558
                  76,            0.035972,            0.025224,            0.006684,             0.90989,             0.44452,             0.52197,             0.28893,            0.035342,            0.016731,           0.0076594,           0.0097525,           0.0097525,           0.0097525
                  77,            0.036889,            0.027028,           0.0063155,             0.50403,             0.54078,             0.52123,             0.29241,            0.035083,            0.016216,           0.0072832,           0.0097492,           0.0097492,           0.0097492
                  78,            0.036157,            0.025662,            0.006857,             0.48976,             0.56937,              0.5549,             0.30464,            0.034898,            0.016389,           0.0068559,           0.0097459,           0.0097459,           0.0097459
                  79,            0.036233,            0.025809,           0.0062223,             0.61691,             0.51307,             0.54776,             0.29251,            0.036378,             0.01627,           0.0070375,           0.0097426,           0.0097426,           0.0097426
                  80,            0.036893,            0.026746,           0.0070549,             0.89255,             0.45307,             0.54367,             0.30665,            0.033946,            0.016647,            0.006139,           0.0097393,           0.0097393,           0.0097393
